Step Time Temp Pressure_Wall Energy Count
860 8.600000 0.666575 69.724887 199972.373787 100000.000000
880 8.800000 0.666575 71.360522 199972.373810 100000.000000
900 9.000000 0.666575 74.060349 199972.373808 100000.000000
920 9.200000 0.666575 69.661487 199972.373825 100000.000000
940 9.400000 0.666575 67.609275 199972.373804 100000.000000
960 9.600000 0.666575 64.072793 199972.373793 100000.000000
980 9.800000 0.666575 64.813397 199972.373798 100000.000000
1000 10.000000 0.666575 71.836611 199972.373796 100000.000000
1020 10.200000 0.666575 65.576669 199972.373804 100000.000000
1040 10.400000 0.666575 66.105509 199972.373837 100000.000000
1060 10.600000 0.666575 69.810406 199972.373790 100000.000000
1080 10.800000 0.666575 71.096260 199972.373771 100000.000000
1100 11.000000 0.666575 70.085092 199972.373756 100000.000000
1120 11.200000 0.666575 70.258837 199972.373755 100000.000000
1140 11.400000 0.666575 69.841092 199972.373767 100000.000000
1160 11.600000 0.666575 69.693153 199972.373749 100000.000000
1180 11.800000 0.666575 67.184682 199972.373754 100000.000000
1200 12.000000 0.666575 67.445308 199972.373726 100000.000000
1220 12.200000 0.666575 67.224032 199972.373736 100000.000000
1240 12.400000 0.666575 69.546067 199972.373730 100000.000000
1260 12.600000 0.666575 68.075873 199972.373733 100000.000000
1280 12.800000 0.666575 66.891895 199972.373725 100000.000000
1300 13.000000 0.666575 67.420524 199972.373744 100000.000000
1320 13.200000 0.666575 63.358914 199972.373748 100000.000000
1340 13.400000 0.666575 66.063766 199972.373737 100000.000000
1360 13.600000 0.666575 63.670204 199972.373701 100000.000000
1380 13.800000 0.666575 62.238212 199972.373736 100000.000000
1400 14.000000 0.666575 65.046171 199972.373769 100000.000000
1420 14.200000 0.666575 65.231096 199972.373762 100000.000000
1440 14.400000 0.666575 65.573497 199972.373763 100000.000000
1460 14.600000 0.666575 64.094312 199972.373775 100000.000000
1480 14.800000 0.666575 64.587641 199972.373762 100000.000000
1500 15.000000 0.666575 66.513101 199972.373756 100000.000000
1520 15.200000 0.666575 65.948509 199972.373732 100000.000000
1540 15.400000 0.666575 67.257574 199972.373738 100000.000000
1560 15.600000 0.666575 64.446922 199972.373714 100000.000000
1580 15.800000 0.666575 66.019099 199972.373705 100000.000000
1600 16.000000 0.666575 63.918495 199972.373656 100000.000000
1620 16.200000 0.666575 65.209065 199972.373674 100000.000000
1640 16.400000 0.666575 64.421580 199972.373657 100000.000000
1660 16.600000 0.666575 63.632534 199972.373646 100000.000000
1680 16.800000 0.666575 64.115697 199972.373655 100000.000000
1700 17.000000 0.666575 66.320298 199972.373675 100000.000000
1720 17.200000 0.666575 63.767191 199972.373683 100000.000000
1740 17.400000 0.666575 67.845027 199972.373673 100000.000000
1760 17.600000 0.666575 65.786673 199972.373690 100000.000000
1780 17.800000 0.666575 68.123868 199972.373665 100000.000000
1800 18.000000 0.666575 68.140942 199972.373667 100000.000000
1820 18.200000 0.666575 68.149857 199972.373670 100000.000000
1840 18.400000 0.666575 63.662171 199972.373646 100000.000000
1860 18.600000 0.666575 66.799540 199972.373647 100000.000000
1880 18.800000 0.666575 66.388095 199972.373645 100000.000000
1900 19.000000 0.666575 69.069035 199972.373636 100000.000000
1920 19.200000 0.666575 68.846732 199972.373613 100000.000000
1940 19.400000 0.666575 67.570914 199972.373620 100000.000000
1960 19.600000 0.666575 66.981950 199972.373578 100000.000000
1980 19.800000 0.666575 68.720527 199972.373573 100000.000000
2000 20.000000 0.666575 67.060552 199972.373565 100000.000000
2020 20.200000 0.666575 66.432483 199972.373530 100000.000000
2040 20.400000 0.666575 69.110458 199972.373515 100000.000000
2060 20.600000 0.666575 67.543994 199972.373532 100000.000000
2080 20.800000 0.666575 69.684826 199972.373535 100000.000000
2100 21.000000 0.666575 70.135124 199972.373568 100000.000000
2120 21.200000 0.666575 67.237314 199972.373544 100000.000000
2140 21.400000 0.666575 67.292264 199972.373548 100000.000000
2160 21.600000 0.666575 72.245370 199972.373591 100000.000000
2180 21.800000 0.666575 68.061666 199972.373590 100000.000000
2200 22.000000 0.666575 66.333850 199972.373586 100000.000000
2220 22.200000 0.666575 66.421822 199972.373603 100000.000000
2240 22.400000 0.666575 69.077287 199972.373610 100000.000000
2260 22.600000 0.666575 66.118590 199972.373630 100000.000000
2280 22.800000 0.666575 66.974938 199972.373623 100000.000000
2300 23.000000 0.666575 66.283733 199972.373654 100000.000000
2320 23.200000 0.666575 71.283212 199972.373679 100000.000000
2340 23.400000 0.666575 66.838276 199972.373680 100000.000000
2360 23.600000 0.666575 66.058066 199972.373711 100000.000000
2380 23.800000 0.666575 67.342441 199972.373747 100000.000000
2400 24.000000 0.666575 64.262934 199972.373757 100000.000000
2420 24.200000 0.666575 65.571393 199972.373752 100000.000000
2440 24.400000 0.666575 65.408924 199972.373750 100000.000000
2460 24.600000 0.666575 66.725862 199972.373773 100000.000000
2480 24.800000 0.666575 64.479890 199972.373776 100000.000000
2500 25.000000 0.666575 65.473108 199972.373763 100000.000000
2520 25.200000 0.666575 63.901727 199972.373792 100000.000000
2540 25.400000 0.666575 65.193531 199972.373817 100000.000000
2560 25.600000 0.666575 68.049848 199972.373800 100000.000000
2580 25.800000 0.666575 65.917223 199972.373797 100000.000000
2600 26.000000 0.666575 66.118406 199972.373788 100000.000000
2620 26.200000 0.666575 66.444695 199972.373788 100000.000000
2640 26.400000 0.666575 64.231381 199972.373755 100000.000000
2660 26.600000 0.666575 62.226036 199972.373736 100000.000000
2680 26.800000 0.666575 66.352436 199972.373732 100000.000000
2700 27.000000 0.666575 65.065055 199972.373766 100000.000000
2720 27.200000 0.666575 64.486682 199972.373776 100000.000000
2740 27.400000 0.666575 64.615249 199972.373769 100000.000000
2760 27.600000 0.666575 63.302796 199972.373769 100000.000000
2780 27.800000 0.666575 63.444446 199972.373751 100000.000000
2800 28.000000 0.666575 65.837965 199972.373733 100000.000000
2820 28.200000 0.666575 65.670757 199972.373730 100000.000000
2840 28.400000 0.666575 65.567909 199972.373717 100000.000000
2860 28.600000 0.666575 66.281926 199972.373704 100000.000000
2880 28.800000 0.666575 67.792107 199972.373695 100000.000000
2900 29.000000 0.666575 66.557308 199972.373697 100000.000000
2920 29.200000 0.666575 66.063609 199972.373680 100000.000000
2940 29.400000 0.666575 69.346236 199972.373689 100000.000000
2960 29.600000 0.666575 67.769598 199972.373694 100000.000000
2980 29.800000 0.666575 69.590695 199972.373664 100000.000000
3000 30.000000 0.666575 69.498578 199972.373707 100000.000000
3020 30.200000 0.666575 67.056228 199972.373794 100000.000000
3040 30.400000 0.666575 67.399156 199972.373787 100000.000000
3060 30.600000 0.666575 66.103522 199972.373780 100000.000000
3080 30.800000 0.666575 65.416677 199972.373773 100000.000000
3100 31.000000 0.666575 67.770569 199972.373756 100000.000000
3120 31.200000 0.666575 70.736868 199972.373756 100000.000000
3140 31.400000 0.666575 70.045019 199972.373735 100000.000000
3160 31.600000 0.666575 68.595065 199972.373749 100000.000000
3180 31.800000 0.666575 70.320277 199972.373753 100000.000000
3200 32.000000 0.666575 68.032270 199972.373721 100000.000000
3220 32.200000 0.666575 67.848929 199972.373707 100000.000000
3240 32.400000 0.666575 67.735163 199972.373682 100000.000000
3260 32.600000 0.666575 66.479521 199972.373709 100000.000000
3280 32.800000 0.666575 65.374761 199972.373749 100000.000000
3300 33.000000 0.666575 66.895947 199972.373709 100000.000000
3320 33.200000 0.666575 68.228572 199972.373698 100000.000000
3340 33.400000 0.666575 68.535229 199972.373705 100000.000000
3360 33.600000 0.666575 65.863619 199972.373757 100000.000000
3380 33.800000 0.666575 67.128614 199972.373744 100000.000000
3400 34.000000 0.666575 65.342716 199972.373743 100000.000000
3420 34.200000 0.666575 65.764487 199972.373705 100000.000000
3440 34.400000 0.666575 66.627803 199972.373722 100000.000000
3460 34.600000 0.666575 67.316136 199972.373676 100000.000000
3480 34.800000 0.666575 66.008998 199972.373698 100000.000000
3500 35.000000 0.666575 65.731300 199972.373680 100000.000000
3520 35.200000 0.666575 66.165654 199972.373669 100000.000000
3540 35.400000 0.666575 65.602839 199972.373701 100000.000000
3560 35.600000 0.666575 65.771460 199972.373702 100000.000000
3580 35.800000 0.666575 65.569401 199972.373747 100000.000000
3600 36.000000 0.666575 66.368096 199972.373802 100000.000000
3620 36.200000 0.666575 66.026584 199972.373768 100000.000000
3640 36.400000 0.666575 67.107190 199972.373740 100000.000000
3660 36.600000 0.666575 68.942141 199972.373747 100000.000000
3680 36.800000 0.666575 62.586315 199972.373734 100000.000000
3700 37.000000 0.666575 64.302831 199972.373759 100000.000000
3720 37.200000 0.666575 64.724615 199972.373777 100000.000000
3740 37.400000 0.666575 66.868358 199972.373766 100000.000000
3760 37.600000 0.666575 64.188314 199972.373793 100000.000000
3780 37.800000 0.666575 66.068338 199972.373817 100000.000000
3800 38.000000 0.666575 64.216358 199972.373846 100000.000000
3820 38.200000 0.666575 64.213763 199972.373848 100000.000000
3840 38.400000 0.666575 67.514128 199972.373837 100000.000000
3860 38.600000 0.666575 66.236852 199972.373817 100000.000000
3880 38.800000 0.666575 64.052434 199972.373814 100000.000000
3900 39.000000 0.666575 64.471649 199972.373872 100000.000000
3920 39.200000 0.666575 66.209672 199972.373858 100000.000000
3940 39.400000 0.666575 68.315637 199972.373874 100000.000000
3960 39.600000 0.666575 66.964458 199972.373882 100000.000000
3980 39.800000 0.666575 64.883596 199972.373873 100000.000000
4000 40.000000 0.666575 67.676375 199972.373885 100000.000000
4020 40.200000 0.666575 69.785860 199972.373893 100000.000000
4040 40.400000 0.666575 66.896606 199972.373884 100000.000000
4060 40.600000 0.666575 68.813147 199972.373892 100000.000000
4080 40.800000 0.666575 70.875588 199972.373916 100000.000000
4100 41.000000 0.666575 67.566596 199972.373903 100000.000000
4120 41.200000 0.666575 65.042439 199972.373853 100000.000000
4140 41.400000 0.666575 69.300099 199972.373855 100000.000000
4160 41.600000 0.666575 65.744266 199972.373854 100000.000000
4180 41.800000 0.666575 66.838809 199972.373850 100000.000000
4200 42.000000 0.666575 70.942786 199972.373837 100000.000000
4220 42.200000 0.666575 66.362849 199972.373802 100000.000000
4240 42.400000 0.666575 69.046286 199972.373792 100000.000000
4260 42.600000 0.666575 67.111065 199972.373773 100000.000000
4280 42.800000 0.666575 68.646484 199972.373750 100000.000000
4300 43.000000 0.666575 64.996840 199972.373755 100000.000000
4320 43.200000 0.666575 66.221082 199972.373747 100000.000000
4340 43.400000 0.666575 68.362430 199972.373732 100000.000000
4360 43.600000 0.666575 67.695345 199972.373766 100000.000000
4380 43.800000 0.666575 67.699362 199972.373797 100000.000000
4400 44.000000 0.666575 65.729892 199972.373773 100000.000000
4420 44.200000 0.666575 67.157696 199972.373807 100000.000000
4440 44.400000 0.666575 65.603483 199972.373814 100000.000000
4460 44.600000 0.666575 68.286004 199972.373825 100000.000000
4480 44.800000 0.666575 68.501772 199972.373825 100000.000000
4500 45.000000 0.666575 66.932667 199972.373822 100000.000000
4520 45.200000 0.666575 65.558998 199972.373790 100000.000000
4540 45.400000 0.666575 65.149867 199972.373805 100000.000000
4560 45.600000 0.666575 66.307842 199972.373807 100000.000000
4580 45.800000 0.666575 64.729473 199972.373810 100000.000000
4600 46.000000 0.666575 64.660185 199972.373799 100000.000000
4620 46.200000 0.666575 65.331432 199972.373797 100000.000000
4640 46.400000 0.666575 68.359873 199972.373797 100000.000000
4660 46.600000 0.666575 64.327065 199972.373807 100000.000000
4680 46.800000 0.666575 66.258241 199972.373787 100000.000000
4700 47.000000 0.666575 67.318690 199972.373810 100000.000000
4720 47.200000 0.666575 66.315857 199972.373810 100000.000000
4740 47.400000 0.666575 67.391040 199972.373796 100000.000000
4760 47.600000 0.666575 67.996015 199972.373767 100000.000000
4780 47.800000 0.666575 62.465315 199972.373730 100000.000000
4800 48.000000 0.666575 64.633188 199972.373726 100000.000000
4820 48.200000 0.666575 66.229554 199972.373746 100000.000000
4840 48.400000 0.666575 65.427388 199972.373735 100000.000000
4860 48.600000 0.666575 64.879594 199972.373754 100000.000000
4880 48.800000 0.666575 64.658852 199972.373737 100000.000000
4900 49.000000 0.666575 66.630090 199972.373752 100000.000000
4920 49.200000 0.666575 65.155276 199972.373756 100000.000000
4940 49.400000 0.666575 67.148397 199972.373748 100000.000000
4960 49.600000 0.666575 65.526200 199972.373751 100000.000000
4980 49.800000 0.666575 63.542709 199972.373674 100000.000000
5000 50.000000 0.666575 68.164057 199972.373673 100000.000000
5020 50.200000 0.666575 65.464627 199972.373670 100000.000000
5040 50.400000 0.666575 70.051156 199972.373671 100000.000000
5060 50.600000 0.666575 65.046573 199972.373629 100000.000000
5080 50.800000 0.666575 67.522415 199972.373662 100000.000000
5100 51.000000 0.666575 66.981265 199972.373681 100000.000000
5120 51.200000 0.666575 70.175810 199972.373665 100000.000000
5140 51.400000 0.666575 68.907615 199972.373661 100000.000000
5160 51.600000 0.666575 67.570737 199972.373665 100000.000000
5180 51.800000 0.666575 69.016733 199972.373665 100000.000000
5200 52.000000 0.666575 64.974884 199972.373687 100000.000000
5220 52.200000 0.666575 69.280748 199972.373704 100000.000000
5240 52.400000 0.666575 63.813897 199972.373694 100000.000000
5260 52.600000 0.666575 67.824203 199972.373702 100000.000000
5280 52.800000 0.666575 68.653244 199972.373703 100000.000000
5300 53.000000 0.666575 71.375082 199972.373684 100000.000000
5320 53.200000 0.666575 64.947798 199972.373687 100000.000000
5340 53.400000 0.666575 69.196780 199972.373703 100000.000000
5360 53.600000 0.666575 67.543069 199972.373678 100000.000000
5380 53.800000 0.666575 68.175697 199972.373685 100000.000000
5400 54.000000 0.666575 68.138093 199972.373666 100000.000000
5420 54.200000 0.666575 66.799140 199972.373656 100000.000000
5440 54.400000 0.666575 66.348792 199972.373682 100000.000000
5460 54.600000 0.666575 66.731927 199972.373692 100000.000000
5480 54.800000 0.666575 70.047499 199972.373696 100000.000000
5500 55.000000 0.666575 65.938835 199972.373697 100000.000000
5520 55.200000 0.666575 62.363741 199972.373668 100000.000000
5540 55.400000 0.666575 67.920022 199972.373683 100000.000000
5560 55.600000 0.666575 66.488447 199972.373646 100000.000000
5580 55.800000 0.666575 66.489301 199972.373642 100000.000000
5600 56.000000 0.666575 67.580492 199972.373661 100000.000000
5620 56.200000 0.666575 64.574026 199972.373682 100000.000000
5640 56.400000 0.666575 65.961612 199972.373711 100000.000000
5660 56.600000 0.666575 64.998018 199972.373740 100000.000000
5680 56.800000 0.666575 63.153708 199972.373740 100000.000000
5700 57.000000 0.666575 64.069352 199972.373768 100000.000000
5720 57.200000 0.666575 67.629178 199972.373774 100000.000000
5740 57.400000 0.666575 67.162832 199972.373824 100000.000000
5760 57.600000 0.666575 67.264038 199972.373852 100000.000000
5780 57.800000 0.666575 66.058896 199972.373866 100000.000000
5800 58.000000 0.666575 67.714166 199972.373879 100000.000000
5820 58.200000 0.666575 64.944847 199972.373898 100000.000000
5840 58.400000 0.666575 63.994966 199972.373885 100000.000000
5860 58.600000 0.666575 64.069875 199972.373847 100000.000000
5880 58.800000 0.666575 64.807171 199972.373792 100000.000000
5900 59.000000 0.666575 64.358302 199972.373827 100000.000000
5920 59.200000 0.666575 66.719877 199972.373817 100000.000000
5940 59.400000 0.666575 68.631805 199972.373823 100000.000000
5960 59.600000 0.666575 66.928580 199972.373827 100000.000000
5980 59.800000 0.666575 63.611611 199972.373805 100000.000000
6000 60.000000 0.666575 64.246391 199972.373845 100000.000000
6020 60.200000 0.666575 66.581705 199972.373805 100000.000000
6040 60.400000 0.666575 63.833158 199972.373817 100000.000000
6060 60.600000 0.666575 67.684470 199972.373799 100000.000000
6080 60.800000 0.666575 66.898217 199972.373792 100000.000000
6100 61.000000 0.666575 71.380131 199972.373814 100000.000000
6120 61.200000 0.666575 65.172273 199972.373852 100000.000000
6140 61.400000 0.666575 69.308797 199972.373900 100000.000000
6160 61.600000 0.666575 66.639604 199972.373865 100000.000000
6180 61.800000 0.666575 70.453536 199972.373871 100000.000000
6200 62.000000 0.666575 71.577523 199972.373880 100000.000000
6220 62.200000 0.666575 69.228958 199972.373884 100000.000000
6240 62.400000 0.666575 67.870521 199972.373943 100000.000000
6260 62.600000 0.666575 67.384307 199972.373939 100000.000000
6280 62.800000 0.666575 65.869901 199972.373932 100000.000000
6300 63.000000 0.666575 68.117119 199972.374006 100000.000000
6320 63.200000 0.666575 67.229040 199972.374007 100000.000000
6340 63.400000 0.666575 65.384799 199972.374042 100000.000000
6360 63.600000 0.666575 64.924240 199972.374015 100000.000000
6380 63.800000 0.666575 66.084449 199972.373995 100000.000000
6400 64.000000 0.666575 69.148875 199972.373988 100000.000000
6420 64.200000 0.666575 68.833075 199972.374002 100000.000000
6440 64.400000 0.666575 67.833192 199972.373994 100000.000000
6460 64.600000 0.666575 66.222569 199972.373996 100000.000000
6480 64.800000 0.666575 67.547153 199972.373976 100000.000000
6500 65.000000 0.666575 64.808277 199972.374023 100000.000000
6520 65.200000 0.666575 66.277075 199972.374034 100000.000000
6540 65.400000 0.666575 67.632430 199972.373985 100000.000000
6560 65.600000 0.666575 63.908117 199972.374017 100000.000000
6580 65.800000 0.666575 68.411994 199972.374019 100000.000000
6600 66.000000 0.666575 68.422033 199972.374002 100000.000000
6620 66.200000 0.666575 65.630167 199972.374034 100000.000000
6640 66.400000 0.666575 68.545701 199972.374016 100000.000000
6660 66.600000 0.666575 64.907141 199972.374016 100000.000000
6680 66.800000 0.666575 66.455653 199972.373997 100000.000000
6700 67.000000 0.666575 64.507065 199972.374003 100000.000000
6720 67.200000 0.666575 63.678741 199972.374003 100000.000000
6740 67.400000 0.666575 66.380550 199972.373948 100000.000000
6760 67.600000 0.666575 68.629788 199972.373962 100000.000000
6780 67.800000 0.666575 67.038449 199972.374020 100000.000000
6800 68.000000 0.666575 67.423159 199972.374031 100000.000000
6820 68.200000 0.666575 66.140707 199972.374074 100000.000000
6840 68.400000 0.666575 64.357894 199972.374068 100000.000000
6860 68.600000 0.666575 66.794713 199972.374115 100000.000000
6880 68.800000 0.666575 63.564198 199972.374104 100000.000000
6900 69.000000 0.666575 65.333926 199972.374094 100000.000000
6920 69.200000 0.666575 64.494361 199972.374080 100000.000000
6940 69.400000 0.666575 66.322521 199972.374073 100000.000000
6960 69.600000 0.666575 66.107185 199972.374160 100000.000000
6980 69.800000 0.666575 67.067551 199972.374170 100000.000000
7000 70.000000 0.666575 65.974072 199972.374182 100000.000000
7020 70.200000 0.666575 62.179569 199972.374205 100000.000000
7040 70.400000 0.666575 66.126454 199972.374187 100000.000000
7060 70.600000 0.666575 66.611553 199972.374185 100000.000000
7080 70.800000 0.666575 66.172749 199972.374150 100000.000000
7100 71.000000 0.666575 66.641148 199972.374145 100000.000000
7120 71.200000 0.666575 67.124516 199972.374137 100000.000000
7140 71.400000 0.666575 69.404826 199972.374128 100000.000000
7160 71.600000 0.666575 67.630616 199972.374076 100000.000000
7180 71.800000 0.666575 68.814309 199972.374064 100000.000000
7200 72.000000 0.666575 68.267762 199972.374003 100000.000000
7220 72.200000 0.666575 69.140397 199972.373983 100000.000000
7240 72.400000 0.666575 67.161428 199972.373960 100000.000000
7260 72.600000 0.666575 68.629647 199972.373935 100000.000000
7280 72.800000 0.666575 69.477291 199972.373909 100000.000000
7300 73.000000 0.666575 68.992987 199972.373877 100000.000000
7320 73.200000 0.666575 65.580345 199972.373839 100000.000000
7340 73.400000 0.666575 65.097736 199972.373844 100000.000000
7360 73.600000 0.666575 70.026488 199972.373865 100000.000000
7380 73.800000 0.666575 64.918833 199972.373885 100000.000000
7400 74.000000 0.666575 68.581250 199972.373859 100000.000000
7420 74.200000 0.666575 69.105321 199972.373873 100000.000000
7440 74.400000 0.666575 69.583312 199972.373852 100000.000000
7460 74.600000 0.666575 65.837829 199972.373873 100000.000000
7480 74.800000 0.666575 64.513993 199972.373874 100000.000000
7500 75.000000 0.666575 70.230099 199972.373896 100000.000000
7520 75.200000 0.666575 66.725919 199972.373926 100000.000000
7540 75.400000 0.666575 67.044157 199972.373920 100000.000000
7560 75.600000 0.666575 62.485015 199972.373879 100000.000000
7580 75.800000 0.666575 65.750136 199972.373845 100000.000000
7600 76.000000 0.666575 67.198619 199972.373858 100000.000000
7620 76.200000 0.666575 65.946152 199972.373872 100000.000000
7640 76.400000 0.666575 64.542104 199972.373857 100000.000000
7660 76.600000 0.666575 65.332998 199972.373898 100000.000000
7680 76.800000 0.666575 65.336615 199972.373843 100000.000000
7700 77.000000 0.666575 64.833150 199972.373801 100000.000000
7720 77.200000 0.666575 67.365273 199972.373786 100000.000000
7740 77.400000 0.666575 65.156008 199972.373811 100000.000000
7760 77.600000 0.666575 66.471513 199972.373839 100000.000000
7780 77.800000 0.666575 64.374746 199972.373857 100000.000000
7800 78.000000 0.666575 66.996554 199972.373821 100000.000000
7820 78.200000 0.666575 65.461606 199972.373823 100000.000000
7840 78.400000 0.666575 65.647544 199972.373840 100000.000000
7860 78.600000 0.666575 68.179288 199972.373862 100000.000000
7880 78.800000 0.666575 66.327259 199972.373807 100000.000000
7900 79.000000 0.666575 65.101448 199972.373785 100000.000000
7920 79.200000 0.666575 65.284384 199972.373788 100000.000000
7940 79.400000 0.666575 65.231013 199972.373808 100000.000000
7960 79.600000 0.666575 67.722845 199972.373774 100000.000000
7980 79.800000 0.666575 65.327802 199972.373784 100000.000000
8000 80.000000 0.666575 65.221653 199972.373780 100000.000000
8020 80.200000 0.666575 66.134586 199972.373787 100000.000000
8040 80.400000 0.666575 64.540122 199972.373810 100000.000000
8060 80.600000 0.666575 64.941114 199972.373830 100000.000000
8080 80.800000 0.666575 67.351698 199972.373810 100000.000000
8100 81.000000 0.666575 71.119234 199972.373788 100000.000000
8120 81.200000 0.666575 65.092535 199972.373789 100000.000000
8140 81.400000 0.666575 66.921377 199972.373803 100000.000000
8160 81.600000 0.666575 65.725736 199972.373784 100000.000000
8180 81.800000 0.666575 67.734193 199972.373814 100000.000000
8200 82.000000 0.666575 69.012215 199972.373811 100000.000000
8220 82.200000 0.666575 66.696886 199972.373804 100000.000000
8240 82.400000 0.666575 65.561402 199972.373768 100000.000000
8260 82.600000 0.666575 67.275934 199972.373741 100000.000000
8280 82.800000 0.666575 67.137682 199972.373714 100000.000000
8300 83.000000 0.666575 70.397661 199972.373689 100000.000000
8320 83.200000 0.666575 69.115221 199972.373659 100000.000000
8340 83.400000 0.666575 67.419371 199972.373629 100000.000000
8360 83.600000 0.666575 64.820419 199972.373597 100000.000000
8380 83.800000 0.666575 70.640460 199972.373566 100000.000000
8400 84.000000 0.666575 66.300282 199972.373560 100000.000000
8420 84.200000 0.666575 67.638948 199972.373569 100000.000000
8440 84.400000 0.666575 67.632581 199972.373570 100000.000000
8460 84.600000 0.666575 68.760654 199972.373611 100000.000000
8480 84.800000 0.666575 68.303099 199972.373645 100000.000000
8500 85.000000 0.666575 65.691031 199972.373614 100000.000000
8520 85.200000 0.666575 66.643925 199972.373561 100000.000000
8540 85.400000 0.666575 69.027537 199972.373516 100000.000000
8560 85.600000 0.666575 64.044750 199972.373545 100000.000000
8580 85.800000 0.666575 65.277160 199972.373603 100000.000000
8600 86.000000 0.666575 67.510617 199972.373593 100000.000000
8620 86.200000 0.666575 66.047959 199972.373584 100000.000000
8640 86.400000 0.666575 68.511346 199972.373586 100000.000000
8660 86.600000 0.666575 66.495945 199972.373609 100000.000000
8680 86.800000 0.666575 69.438906 199972.373655 100000.000000
8700 87.000000 0.666575 63.684348 199972.373666 100000.000000
8720 87.200000 0.666575 63.600874 199972.373678 100000.000000
8740 87.400000 0.666575 66.778225 199972.373657 100000.000000
8760 87.600000 0.666575 64.688011 199972.373664 100000.000000
8780 87.800000 0.666575 66.829117 199972.373669 100000.000000
8800 88.000000 0.666575 68.853785 199972.373667 100000.000000
8820 88.200000 0.666575 62.889682 199972.373629 100000.000000
8840 88.400000 0.666575 64.248521 199972.373627 100000.000000
8860 88.600000 0.666575 63.136175 199972.373588 100000.000000
8880 88.800000 0.666575 66.140481 199972.373573 100000.000000
8900 89.000000 0.666575 65.774671 199972.373557 100000.000000
8920 89.200000 0.666575 64.642138 199972.373569 100000.000000
8940 89.400000 0.666575 70.274990 199972.373554 100000.000000
8960 89.600000 0.666575 69.554429 199972.373513 100000.000000
8980 89.800000 0.666575 64.733677 199972.373509 100000.000000
9000 90.000000 0.666575 65.851063 199972.373513 100000.000000
9020 90.200000 0.666575 63.904723 199972.373511 100000.000000
9040 90.400000 0.666575 67.596841 199972.373499 100000.000000
9060 90.600000 0.666575 66.128385 199972.373530 100000.000000
9080 90.800000 0.666575 67.540370 199972.373538 100000.000000
9100 91.000000 0.666575 68.586464 199972.373544 100000.000000
9120 91.200000 0.666575 66.833910 199972.373554 100000.000000
9140 91.400000 0.666575 69.523229 199972.373586 100000.000000
9160 91.600000 0.666575 67.635517 199972.373607 100000.000000
9180 91.800000 0.666575 64.698094 199972.373605 100000.000000
9200 92.000000 0.666575 63.507768 199972.373585 100000.000000
9220 92.200000 0.666575 67.963604 199972.373606 100000.000000
9240 92.400000 0.666575 68.208152 199972.373588 100000.000000
9260 92.600000 0.666575 66.045545 199972.373598 100000.000000
9280 92.800000 0.666575 67.708600 199972.373577 100000.000000
9300 93.000000 0.666575 69.292662 199972.373573 100000.000000
